건물용도코드,건물종류,건물일련번호,가점척도,경도,위도
3007,마을공동시설,38788,1,127.1877484074,36.751993210500004
3007,마을공동시설,13708,1,127.209118422,36.7503878987
3007,마을공동시설,34723,1,127.31022131540001,36.771350282
3007,마을공동시설,34957,1,127.31617004350001,36.8370054441
3007,마을공동시설,9875,1,127.2525394129,36.747187991
3007,마을공동시설,52429,1,127.23891761370001,36.740857010700005
3007,마을공동시설,52621,1,127.2522896065,36.7350339054
3007,마을공동시설,52534,1,127.2609846299,36.7288282041
3007,마을공동시설,60105,1,127.1501935327,36.8048613312
3007,마을공동시설,27224,1,127.1558345193,36.7898362431
3007,마을공동시설,27225,1,127.15564813280001,36.7897996568
3007,마을공동시설,27223,1,127.1559092557,36.7898580123
3007,마을공동시설,74431,1,127.17506916290002,36.8413327986
3007,마을공동시설,1830,1,127.2532079976,36.771629036
