gid,경도,위도
다바576517,127.0261156021,36.6627432304
다바576518,127.0261100759,36.6636446936
다바576519,127.0261045495,36.6645461567
다바576520,127.0260990228,36.6654476197
다바576521,127.0260934959,36.6663490825
다바576522,127.0260879688,36.6672505452
다바576523,127.0260824414,36.6681520077
다바576524,127.0260769137,36.6690534702
다바576525,127.0260713858,36.6699549324
다바576526,127.0260658577,36.6708563946
다바576527,127.0260603293,36.6717578566
다바576528,127.0260548006,36.6726593184
다바576529,127.0260492718,36.6735607802
다바576530,127.0260437426,36.6744622418
다바576531,127.0260382133,36.6753637032
다바576532,127.0260326837,36.6762651645
다바576533,127.0260271538,36.6771666257
다바576534,127.0260216237,36.6780680868
다바576535,127.0260160933,36.6789695477
다바576536,127.0260105627,36.6798710084
다바576537,127.0260050319,36.6807724691
다바576538,127.0259995008,36.6816739296
다바576539,127.0259939695,36.6825753899
다바576540,127.0259884379,36.6834768501
다바576541,127.0259829060,36.6843783102
다바576542,127.0259773740,36.6852797701
다바576543,127.0259718416,36.6861812299
다바577509,127.0272786352,36.6555359651
다바577510,127.0272731240,36.6564374296
다바577511,127.0272676126,36.6573388939
다바577512,127.0272621009,36.6582403581
다바577513,127.0272565890,36.6591418222
다바577514,127.0272510769,36.6600432861
다바577515,127.0272455645,36.6609447499
다바577516,127.0272400518,36.6618462136
다바577517,127.0272345390,36.6627476771
다바577518,127.0272290258,36.6636491405
다바577519,127.0272235125,36.6645506038
다바577520,127.0272179988,36.6654520669
다바577521,127.0272124850,36.6663535298
다바577522,127.0272069709,36.6672549927
다바577523,127.0272014565,36.6681564554
다바577524,127.0271959419,36.6690579179
다바577525,127.0271904271,36.6699593804
다바577526,127.0271849120,36.6708608427
다바577527,127.0271793966,36.6717623048
다바577528,127.0271738811,36.6726637668
다바577529,127.0271683652,36.6735652287
다바577530,127.0271628492,36.6744666904
다바577531,127.0271573329,36.6753681520
다바577532,127.0271518163,36.6762696135
다바577533,127.0271462995,36.6771710748
다바577534,127.0271407824,36.6780725360
다바577535,127.0271352651,36.6789739970
다바577536,127.0271297476,36.6798754580
다바577537,127.0271242298,36.6807769187
다바577538,127.0271187118,36.6816783794
다바577539,127.0271131935,36.6825798399
다바577540,127.0271076750,36.6834813002
다바577541,127.0271021562,36.6843827605
다바577542,127.0270966372,36.6852842205
다바577543,127.0270911179,36.6861856805
다바577544,127.0270855984,36.6870871403
다바577545,127.0270800787,36.6879886000
다바578509,127.0283974679,36.6555404002
다바578510,127.0283919698,36.6564418648
다바578511,127.0283864714,36.6573433293
다바578512,127.0283809728,36.6582447937
다바578513,127.0283754739,36.6591462579
다바578514,127.0283699748,36.6600477220
다바578515,127.0283644755,36.6609491859
다바578516,127.0283589759,36.6618506497
다바578517,127.0283534761,36.6627521134
다바578518,127.0283479760,36.6636535769
다바578519,127.0283424757,36.6645550403
다바578520,127.0283369751,36.6654565036
다바578521,127.0283314743,36.6663579667
다바578522,127.0283259732,36.6672594297
다바578523,127.0283204719,36.6681608925
다바578524,127.0283149704,36.6690623552
다바578525,127.0283094686,36.6699638178
다바578526,127.0283039665,36.6708652802
다바578527,127.0282984643,36.6717667425
다바578528,127.0282929617,36.6726682047
다바578529,127.0282874590,36.6735696667
다바578530,127.0282819559,36.6744711286
다바578531,127.0282764527,36.6753725903
다바578532,127.0282709492,36.6762740519
다바578533,127.0282654454,36.6771755134
다바578534,127.0282599414,36.6780769747
다바578535,127.0282544372,36.6789784359
다바578536,127.0282489327,36.6798798970
다바578537,127.0282434280,36.6807813579
다바578538,127.0282379230,36.6816828187
