건물용도코드,건물종류,건물일련번호,가점척도,경도,위도
1001,단독주택,66404,0,127.12978975760001,36.8170443105
1001,단독주택,66399,0,127.1296036767,36.8170491175
1001,단독주택,66400,0,127.12962809700001,36.8171062468
1001,단독주택,66401,0,127.12970922059999,36.817076203
1001,단독주택,66402,0,127.1296505788,36.8170068672
1001,단독주택,66392,0,127.1299925334,36.8173608201
1001,단독주택,66391,0,127.13003315969999,36.8173027532
1001,단독주택,66403,0,127.1298080764,36.8175000257
1001,단독주택,66397,0,127.1299556681,36.8176179626
1001,단독주택,66396,0,127.13002455360001,36.8175019883
1001,단독주택,66398,0,127.1301230976,36.8175754178
1001,단독주택,138132,0,127.1326176197,36.8049777714
1001,단독주택,39274,0,127.13354012469999,36.8059483304
1001,단독주택,39275,0,127.1335254243,36.8058803929
1001,단독주택,145831,0,127.13355880700001,36.8124049862
1001,단독주택,74977,0,127.16735792909999,36.7513896793
1001,단독주택,74972,0,127.1672901346,36.751316154499996
1001,단독주택,74971,0,127.16798661809999,36.7515754373
1001,단독주택,74910,0,127.17068423159999,36.753920451199996
1001,단독주택,74931,0,127.17351335309999,36.7555965304
1001,단독주택,74902,0,127.1713444467,36.7542473441
1001,단독주택,74899,0,127.1713473217,36.75414728
1001,단독주택,74901,0,127.17144460290001,36.754173899
1001,단독주택,74915,0,127.1714810308,36.7551754371
1001,단독주택,74927,0,127.171431374,36.7564155261
1001,단독주택,74930,0,127.17164391280001,36.7561313398
1001,단독주택,74925,0,127.17140665049999,36.756198857
1001,단독주택,74929,0,127.1715780989,36.7561788964
1001,단독주택,74937,0,127.17188770860001,36.7584953158
1001,단독주택,147320,0,127.17299903,36.7582235281
1001,단독주택,74962,0,127.1682234673,36.765511703
1001,단독주택,74954,0,127.1668663298,36.7665276969
1001,단독주택,74955,0,127.16695395200001,36.7665030916
1001,단독주택,74951,0,127.16691772,36.7667804577
1001,단독주택,74953,0,127.1668403016,36.7668900802
1001,단독주택,139719,0,127.1670233594,36.7665999378
1001,단독주택,74950,0,127.16687513069999,36.768019803499996
1001,단독주택,74946,0,127.1665545492,36.7680932485
1001,단독주택,74948,0,127.1667675793,36.7680575684
1001,단독주택,74720,0,127.16421186219999,36.7977962122
1001,단독주택,69583,0,127.1649079087,36.7981307798
1001,단독주택,74717,0,127.16406768690001,36.7981052043
1001,단독주택,74714,0,127.1641801184,36.7981126663
1001,단독주택,74716,0,127.16412038920001,36.798068420199996
1001,단독주택,74715,0,127.1641290076,36.7981497226
1001,단독주택,74672,0,127.1647310809,36.7981940536
1001,단독주택,74673,0,127.1647028546,36.7982433854
1001,단독주택,74676,0,127.16466416040001,36.798115858
